timestamp,price_usd_per_mwh,duration_hours
2026-01-01T00:00:00,40.0,1.0
2026-01-01T01:00:00,38.0,1.0
2026-01-01T02:00:00,35.0,1.0
2026-01-01T03:00:00,32.0,1.0
2026-01-01T04:00:00,30.0,1.0
2026-01-01T05:00:00,34.0,1.0
2026-01-01T06:00:00,45.0,1.0
2026-01-01T07:00:00,55.0,1.0
2026-01-01T08:00:00,60.0,1.0
2026-01-01T09:00:00,50.0,1.0
2026-01-01T10:00:00,35.0,1.0
2026-01-01T11:00:00,25.0,1.0
2026-01-01T12:00:00,20.0,1.0
2026-01-01T13:00:00,22.0,1.0
2026-01-01T14:00:00,28.0,1.0
2026-01-01T15:00:00,45.0,1.0
2026-01-01T16:00:00,70.0,1.0
2026-01-01T17:00:00,95.0,1.0
2026-01-01T18:00:00,110.0,1.0
2026-01-01T19:00:00,100.0,1.0
2026-01-01T20:00:00,80.0,1.0
2026-01-01T21:00:00,60.0,1.0
2026-01-01T22:00:00,50.0,1.0
2026-01-01T23:00:00,42.0,1.0
